_id,name,salary,url
95315305,Intern Web Developer (Python), Не указано,https://hh.ru/vacancy/95315305?query=Python&hhtmFrom=vacancy_search_list
95081772,Middle/Senior Python Developer,2 000 - 4 000 Доллар,https://hh.ru/vacancy/95081772?query=Python&hhtmFrom=vacancy_search_list
88962145,"Разработчик Python (Django, DRF)",150 000 - 250 000 Руб,https://hh.ru/vacancy/88962145?query=Python&hhtmFrom=vacancy_search_list
96107914,Разработчик BPM процессов, Не указано,https://hh.ru/vacancy/96107914?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=478157&utm_local_campaign=833554&utm_content=512413&utm_vacancy=96107914
95436811,AQA Engineer Python,180 000 - 220 000 Руб,https://hh.ru/vacancy/95436811?query=Python&hhtmFrom=vacancy_search_list
94684232,Software Developer Python,80 000 - 250 000 Руб,https://hh.ru/vacancy/94684232?query=Python&hhtmFrom=vacancy_search_list
95866455,Программист Python, Не указано,https://hh.ru/vacancy/95866455?query=Python&hhtmFrom=vacancy_search_list
96127386,Python/Go developer (middle/middle+), Не указано,https://hh.ru/vacancy/96127386?query=Python&hhtmFrom=vacancy_search_list
91272322,Ведущий разработчик Python (ML), Не указано,https://hh.ru/vacancy/91272322?query=Python&hhtmFrom=vacancy_search_list
86004600,Python developer / Разработчик python, Не указано,https://hh.ru/vacancy/86004600?query=Python&hhtmFrom=vacancy_search_list
95174988,Python developer, Не указано,https://hh.ru/vacancy/95174988?query=Python&hhtmFrom=vacancy_search_list
95995078,Python разработчик, Не указано,https://hh.ru/vacancy/95995078?query=Python&hhtmFrom=vacancy_search_list
88535916,Python Engineer, Не указано,https://hh.ru/vacancy/88535916?query=Python&hhtmFrom=vacancy_search_list
96074104,Senior Python разработчик (Django), Не указано,https://hh.ru/vacancy/96074104?query=Python&hhtmFrom=vacancy_search_list
96003074,Python разработчик,340 000 Руб,https://hh.ru/vacancy/96003074?query=Python&hhtmFrom=vacancy_search_list
96116704,Стажер аналитик / разработчик (SQL / Python), Не указано,https://hh.ru/vacancy/96116704?query=Python&hhtmFrom=vacancy_search_list
95059923,Python-разработчик (Senior),300 000 Руб,https://hh.ru/vacancy/95059923?query=Python&hhtmFrom=vacancy_search_list
93621223,Ведущий разработчик Python,250 000 Руб,https://hh.ru/vacancy/93621223?query=Python&hhtmFrom=vacancy_search_list
95059924,Python-разработчик (Senior),300 000 Руб,https://hh.ru/vacancy/95059924?query=Python&hhtmFrom=vacancy_search_list
95059925,Python-разработчик (Senior),300 000 Руб,https://hh.ru/vacancy/95059925?query=Python&hhtmFrom=vacancy_search_list
96000787,Senior Python Developer, Не указано,https://hh.ru/vacancy/96000787?query=Python&hhtmFrom=vacancy_search_list
94833989,Ведущий Python разработчик/Senior Python Developer,230 000 Руб,https://hh.ru/vacancy/94833989?query=Python&hhtmFrom=vacancy_search_list
82844142,Senior C++/Python Developer (Tanks Blitz), Не указано,https://hh.ru/vacancy/82844142?query=Python&hhtmFrom=vacancy_search_list
86553467,Python Data Engineer, Не указано,https://hh.ru/vacancy/86553467?query=Python&hhtmFrom=vacancy_search_list
92282260,Разработчик Python/Django, Не указано,https://hh.ru/vacancy/92282260?query=Python&hhtmFrom=vacancy_search_list
93233715,Python | Go developer, Не указано,https://hh.ru/vacancy/93233715?query=Python&hhtmFrom=vacancy_search_list
92471522,Junior Python Backend Developer (кадровый резерв),80 000 Руб,https://hh.ru/vacancy/92471522?query=Python&hhtmFrom=vacancy_search_list
96111419,Разработчик на С++ и Python в Справочник, Не указано,https://hh.ru/vacancy/96111419?query=Python&hhtmFrom=vacancy_search_list
96016290,Python backend developer, Не указано,https://hh.ru/vacancy/96016290?query=Python&hhtmFrom=vacancy_search_list
