datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672588800000,16553.59000000,16591.06000000,16553.59000000,16562.85000000,5.65822900,1672592399999,93816.00532540,58,5.63702900,93464.86765340,0
1672592400000,16569.03000000,16582.44000000,16565.13000000,16580.11000000,0.89789900,1672595999999,14880.74365037,82,0.62241000,10314.76180615,0
1672596000000,16575.30000000,16585.61000000,16575.29000000,16581.86000000,0.04640800,1672599599999,769.56739199,6,0.00000000,0.00000000,0
1672599600000,16596.12000000,16616.90000000,16591.36000000,16598.00000000,0.46845300,1672603199999,7777.41138318,27,0.15305200,2539.91813351,0
1672603200000,16594.06000000,16633.85000000,16594.06000000,16598.00000000,2.59835200,1672606799999,43177.86720384,75,2.19770400,36523.97538300,0
1672606800000,16593.24000000,16599.54000000,16593.24000000,16599.54000000,0.13834400,1672610399999,2295.93281450,12,0.12629400,2095.97511450,0
1672610400000,16598.50000000,16599.77000000,16592.97000000,16598.00000000,1.16598000,1672613999999,19353.00669142,10,0.16598000,2755.00669142,0
1672614000000,16598.37000000,16616.40000000,16598.37000000,16602.80000000,0.39728900,1672617599999,6597.66584644,12,0.19611900,3257.54017044,0
1672617600000,16608.27000000,16621.19000000,16578.69000000,16578.69000000,0.19519500,1672621199999,3237.89508835,11,0.01305000,216.60143600,0
1672621200000,16568.37000000,16568.37000000,16550.00000000,16559.62000000,0.59313900,1672624799999,9821.38382306,21,0.57887200,9585.18937452,0
1672624800000,16554.23000000,16574.59000000,16554.20000000,16574.59000000,0.02153400,1672628399999,356.88494231,5,0.02002700,331.93772670,0
1672628400000,16580.20000000,16691.05000000,16580.20000000,16651.40000000,2.64249200,1672631999999,43982.54843921,67,1.67025800,27800.18200013,0
1672632000000,16667.54000000,16667.55000000,16630.34000000,16630.34000000,0.48390100,1672635599999,8053.95662245,20,0.00770000,128.22416100,0
1672635600000,16624.06000000,16649.00000000,16620.93000000,16649.00000000,0.84088900,1672639199999,13998.93234901,33,0.76168700,12681.20220097,0
1672639200000,16658.08000000,16658.09000000,16646.84000000,16646.85000000,0.04186000,1672642799999,696.98965939,6,0.01466000,244.16261539,0
1672642800000,16653.21000000,16750.00000000,16653.21000000,16724.16000000,2.66706100,1672646399999,44595.95486690,108,1.30558000,21825.57963985,0
1672646400000,16743.52000000,16752.37000000,16728.09000000,16728.09000000,0.25358300,1672649999999,4245.87648669,13,0.19521300,3268.64895329,0
1672650000000,16726.84000000,16727.25000000,16721.65000000,16721.65000000,0.03656400,1672653599999,611.45069105,4,0.00603900,101.01586275,0
1672653600000,16733.49000000,16755.16000000,16727.05000000,16727.05000000,0.48068600,1672657199999,8047.34002184,15,0.47068600,7880.04812184,0
1672657200000,16724.80000000,16726.06000000,16700.00000000,16726.02000000,0.13564600,1672660799999,2267.21599364,10,0.05584400,933.06374400,0
1672660800000,16726.64000000,16726.64000000,16723.67000000,16726.10000000,0.00273800,1672664399999,45.79490917,3,0.00118200,19.77025020,0
1672664400000,16709.53000000,16709.53000000,16683.28000000,16698.89000000,0.79828400,1672667999999,13323.95353377,33,0.09800900,1636.61545725,0
1672668000000,16688.33000000,16701.11000000,16671.33000000,16686.57000000,0.34955700,1672671599999,5832.19414226,26,0.26248000,4379.59673921,0
1672671600000,16699.23000000,16732.47000000,16692.08000000,16728.03000000,0.87757800,1672675199999,14671.74916328,58,0.39560800,6609.59019776,0
1672675200000,16728.80000000,16728.80000000,16706.75000000,16706.75000000,0.50644400,1672678799999,8469.47863586,32,0.37340300,6244.98407813,0
1672678800000,16707.93000000,16707.93000000,16707.93000000,16707.93000000,0.02025100,1672682399999,338.35229043,3,0.02025100,338.35229043,0
1672682400000,16713.83000000,16717.37000000,16708.33000000,16713.84000000,0.44396400,1672685999999,7419.30272656,13,0.44157100,7379.30622064,0
1672686000000,16723.22000000,16725.03000000,16723.22000000,16725.03000000,0.01551900,1672689599999,259.53903193,3,0.01051900,175.91388193,0
1672689600000,16737.63000000,16737.63000000,16709.69000000,16728.06000000,0.29097900,1672693199999,4864.44313624,37,0.05722300,956.78422522,0
1672693200000,16728.06000000,16772.61000000,16717.51000000,16761.44000000,6.27187100,1672696799999,105122.25868225,170,3.53547100,59263.61712267,0
1672696800000,16761.41000000,16763.54000000,16684.10000000,16692.62000000,3.85965600,1672700399999,64559.67280562,177,2.22166600,37131.46903012,0
1672700400000,16694.33000000,16714.52000000,16663.50000000,16666.72000000,1.27939300,1672703999999,21354.03716725,79,0.81392800,13585.06694214,0
1672704000000,16662.32000000,16704.81000000,16649.17000000,16704.18000000,0.23345100,1672707599999,3890.03879405,16,0.21112400,3518.09355858,0
1672707600000,16675.54000000,16679.99000000,16650.70000000,16658.81000000,0.19323100,1672711199999,3220.40154562,20,0.15323100,2553.94444562,0
1672711200000,16672.72000000,16676.43000000,16672.72000000,16675.24000000,0.17112000,1672714799999,2853.57453340,6,0.16112000,2686.81378340,0
1672714800000,16661.44000000,16693.45000000,16661.42000000,16693.45000000,0.06297300,1672718399999,1050.49917007,7,0.06132100,1022.97448025,0
1672718400000,16693.23000000,16696.00000000,16682.73000000,16682.73000000,1.28824900,1672721999999,21504.63687617,27,0.29545100,4931.99186017,0
1672722000000,16676.16000000,16721.35000000,16676.16000000,16721.35000000,0.42486700,1672725599999,7097.08547207,40,0.20050200,3349.93799782,0
1672725600000,16724.30000000,16759.61000000,16724.30000000,16729.67000000,0.64632400,1672729199999,10818.59166866,92,0.36416600,6096.73666669,0
1672729200000,16725.26000000,16725.26000000,16711.30000000,16721.66000000,0.01340500,1672732799999,224.09614290,5,0.00825500,137.99568530,0
1672732800000,16721.62000000,16721.62000000,16701.60000000,16712.07000000,0.20619400,1672736399999,3445.46414576,42,0.13619400,2275.50484576,0
1672736400000,16728.60000000,16743.16000000,16719.76000000,16733.59000000,0.67244900,1672739999999,11253.43762846,119,0.48592800,8132.00260552,0
1672740000000,16734.76000000,16734.76000000,16719.56000000,16719.56000000,0.05835100,1672743599999,975.76062689,15,0.00352900,59.05432129,0
1672743600000,16719.56000000,16724.70000000,16710.35000000,16716.15000000,0.08848500,1672747199999,1479.68823944,12,0.01599500,267.36627925,0
1672747200000,16711.32000000,16720.70000000,16700.00000000,16700.00000000,0.24033000,1672750799999,4016.76642293,30,0.04945400,826.74170953,0
1672750800000,16699.32000000,16727.74000000,16699.32000000,16722.84000000,0.16647800,1672754399999,2782.99505782,32,0.02431500,406.44825006,0
